userid,movieid,rating
168337,2138,4.0
6075,8507,3.0
118414,68954,4.5
12649,103772,3.5
77644,5669,4.5
195687,5293,2.5
161944,3262,3.5
135428,5254,3.0
195438,1089,4.5
66723,3481,4.5
166997,2931,5.0
7557,106920,4.5
139401,3147,5.0
23403,168252,4.5
112637,8665,4.0
58668,2115,3.5
117841,4067,5.0
172306,265,4.0
177826,102993,4.5
24528,119155,0.5
51117,913,3.5
150732,593,3.5
66740,588,3.0
195051,2081,2.0
26078,2671,4.0
92545,1672,4.0
23710,116797,4.5
175399,1357,5.0
48454,74488,2.5
17023,1405,0.5
182996,3996,4.0
154748,2722,1.0
123361,6322,1.5
184237,6283,4.0
195510,5040,3.0
115169,176753,1.0
14277,2959,4.0
12075,6886,3.5
54846,106100,3.5
192760,8639,4.0
60486,4848,5.0
192873,30825,3.0
101282,5989,5.0
97262,95,4.0
182503,4306,4.0
90436,7254,3.5
154789,293,4.5
135229,32,4.0
78799,2405,2.0
122739,780,2.5
63947,2551,5.0
8840,8961,5.0
106970,778,4.0
48145,48780,4.5
40272,1999,4.0
194931,162,4.0
96948,2692,4.0
151802,924,3.0
60413,175795,2.5
18240,25,3.0
135588,307,5.0
62453,83086,1.5
187293,111,5.0
170680,60069,5.0
171290,2138,3.5
175325,165601,2.0
33484,4993,5.0
157218,3704,4.0
27586,442,4.0
98329,78772,2.0
70885,4022,5.0
153172,63082,4.5
165854,1037,2.5
22377,4881,3.0
75848,33794,3.5
21783,144,3.0
86889,9010,3.5
150794,7980,3.0
120548,1918,4.0
108458,3809,3.0
35048,4973,3.5
184421,55820,4.0
187665,3977,3.5
94586,96606,5.0
136670,166528,5.0
121991,6197,4.0
104081,162414,3.5
85853,2871,2.0
145841,71135,4.5
134138,480,3.0
48548,2232,3.5
140620,148671,4.5
163244,1517,2.5
145841,1722,5.0
142967,177765,3.5
102689,202439,5.0
147903,2174,4.5
120370,4025,4.5
52352,1614,2.5
197052,5827,2.0
59568,1385,3.0
142015,589,3.0
38925,5989,3.5
1338,540,2.5
156715,122922,5.0
56486,288,3.0
83508,5060,4.0
128636,133771,1.0
200288,184471,4.0
78359,57368,4.0
115482,527,5.0
473,64614,2.5
32009,44761,5.0
112988,46972,2.5
16487,539,3.0
60239,102194,3.0
20905,3249,2.0
195551,215353,3.5
129711,58559,4.0
79014,135887,2.0
44909,48043,4.0
90131,5954,5.0
140466,586,4.5
88720,70932,2.0
101066,4011,4.0
137402,2788,4.0
117346,8947,3.0
88484,86882,4.5
176231,370,4.0
143519,296,4.5
61990,96079,4.5
87528,38992,3.5
59725,57669,4.0
14050,50,3.5
185874,707,1.0
142763,165087,3.5
54718,4235,3.5
177597,2012,3.0
7855,4506,4.0
100670,5463,3.0
190784,91134,3.0
147775,3751,3.0
189425,3698,4.5
156104,1358,5.0
36431,8360,3.0
60131,1485,2.5
102294,180491,1.5
109213,2915,3.0
66622,90057,4.0
17238,48780,5.0
78748,48516,4.0
144917,217,1.0
157350,98809,5.0
188468,1371,2.0
9172,736,1.0
158112,4993,5.0
172165,838,3.5
18609,32587,3.0
102755,73321,4.5
183740,53996,3.0
180136,1200,3.0
5160,278578,3.5
42127,499,3.0
113760,788,2.0
188791,541,4.5
109881,2,3.5
11454,3793,3.5
112771,99145,3.0
16983,79132,5.0
179919,2529,3.5
139296,198185,4.0
52987,45732,4.0
116724,808,2.0
9497,84152,3.0
157153,4448,4.0
185237,2683,2.0
131429,2706,3.0
82329,27721,4.0
22939,2730,4.0
50709,3702,3.5
115390,4605,5.0
166563,413,3.0
120480,3874,3.5
66255,122918,3.5
6408,58803,3.0
143003,728,3.0
24068,3176,4.0
68099,84152,5.0
134717,49132,2.5
62269,2329,5.0
53580,595,5.0
85710,356,5.0
29066,112290,4.0
145379,201646,5.0
92924,1136,5.0
198166,5893,4.0
197704,337,3.0
126357,2762,4.0
178277,1269,5.0
35588,62,4.0
42944,368,3.5
107792,3635,4.0
16381,1617,4.0
4878,4975,2.5
3008,6057,1.0
134372,1097,5.0
72861,356,5.0
35950,367,0.5
139440,1562,0.5
165617,3432,3.5
176683,1732,4.0
52090,2135,3.0
137375,858,5.0
93969,1267,5.0
46580,5013,5.0
106357,46337,1.0
190132,101739,0.5
172432,475,4.0
55843,421,4.0
81239,153,3.0
151127,45517,3.0
30679,4979,5.0
7904,1947,4.0
31567,49961,3.0
69599,50,4.0
108109,5816,3.5
51149,3793,4.0
184718,4235,4.5
172439,266,3.0
190940,30812,3.0
15636,1200,2.5
5716,2930,4.0
91899,2859,4.0
24637,72407,3.0
133982,8493,3.0
108123,36529,3.5
187641,2985,3.0
109563,1517,1.0
181437,593,4.0
156127,42018,3.5
56879,910,5.0
28,165549,4.5
16658,195159,5.0
128573,2471,2.0
44042,160,3.0
34947,454,3.0
58629,3392,1.5
88041,1573,3.0
71019,597,4.0
194821,153873,4.5
2202,4876,3.0
57180,260,3.5
200683,2291,3.0
21490,118702,4.0
49258,3949,0.5
17440,88129,4.0
175195,1722,3.0
25502,4855,4.0
194109,318,4.0
149134,485,5.0
19193,104,4.0
16011,1282,4.0
34270,6550,4.0
126556,6711,4.0
58360,2692,3.5
53753,73017,4.5
47525,5299,2.5
36935,3608,5.0
18369,2671,5.0
111358,100326,3.5
23805,3821,0.5
85998,2857,4.0
180493,1544,4.0
90220,1370,3.0
28831,2395,4.5
156117,900,5.0
134979,4848,4.5
104798,1237,5.0
81621,88125,5.0
159507,3543,5.0
52045,7572,4.0
93066,1339,4.0
107488,4034,4.0
124402,72998,3.5
31037,432,3.0
166273,25,4.0
13451,539,3.0
2270,8132,4.0
58378,142509,3.5
105752,5459,2.0
10771,272,2.0
92650,141,4.0
52910,4862,4.0
167908,5989,5.0
102960,27773,4.5
35282,1485,3.0
31034,128838,3.0
12342,5952,1.5
126158,595,2.0
48568,1517,3.0
12397,1748,3.5
8908,80549,3.0
100756,150,5.0
200365,2959,5.0
67579,8665,0.5
57304,6487,4.0
37680,96079,4.0
27530,6932,3.0
179394,4867,1.0
57228,2907,2.5
34492,150,3.0
182298,96728,1.0
28401,1234,3.0
188953,1197,3.0
180766,74458,5.0
22679,736,3.0
28135,316,4.0
100769,39183,5.0
91494,77414,4.5
82860,45950,4.0
194117,171553,2.5
183585,140715,4.0
120511,261,2.0
8031,73017,5.0
51380,2959,4.0
151734,4878,3.0
51783,296,5.0
46815,2642,4.0
58289,46578,4.5
96692,345,3.5
35843,2720,2.5
159663,183837,3.0
172416,527,5.0
54913,1682,3.5
141154,52328,4.0
133490,4022,4.0
96349,40819,3.5
178310,97752,0.5
123623,6051,5.0
143578,4823,3.5
44117,1321,5.0
97166,18,3.0
150576,2111,4.0
110827,2455,3.0
54103,32,4.5
14766,784,3.0
156086,2792,3.0
15104,164540,4.0
160950,166285,2.5
164912,393,2.0
114438,1233,3.0
151139,673,3.0
153166,46530,3.0
160105,71535,4.0
95202,51471,4.0
46796,5254,3.0
67072,1097,2.5
45970,196,2.0
175849,89753,4.0
83704,1569,3.0
149251,736,2.5
159829,3977,1.5
121098,434,3.0
106231,2701,4.0
138473,73321,2.5
79619,2420,2.0
95567,2985,5.0
35113,1036,4.0
178935,34143,3.5
16825,6695,3.5
148883,3730,4.0
25197,1690,2.0
97149,69122,4.5
191264,2657,1.0
62160,8914,1.5
44981,4519,3.0
137868,1456,2.0
72853,4816,1.5
27287,786,2.5
105946,318,5.0
28547,486,2.0
157989,53972,1.5
15081,141818,3.5
142090,3949,4.0
62344,280,4.0
186516,1120,4.0
5531,296,3.5
25625,8014,5.0
45692,105468,3.5
110527,6539,3.0
44871,4291,4.5
82596,1690,4.0
20295,6378,4.0
77597,111,4.0
166931,296,5.0
199077,3578,4.0
21844,104841,4.0
56385,2872,4.0
47485,88,4.0
81932,4017,4.0
128370,5444,3.0
137203,1704,3.0
180200,1203,4.0
95662,4148,1.0
171578,8530,4.0
185754,6874,5.0
38176,3671,2.5
59756,187501,4.5
178255,858,5.0
65905,8907,2.0
59813,35836,3.5
90676,3175,3.0
126126,4855,4.0
165862,176419,3.5
101932,2115,3.0
37847,1036,3.0
160563,539,5.0
65079,94959,3.5
77803,608,5.0
30572,1334,2.0
175009,5679,3.5
144599,99114,3.5
168599,1224,5.0
78701,58559,4.5
145316,2329,4.5
147425,926,2.0
68728,538,3.0
185525,355,3.0
29164,241272,3.5
118842,475,3.0
66705,3206,3.0
36711,2628,4.5
108966,1197,3.5
154982,282147,4.0
68500,4995,5.0
17478,227,4.0
156909,178061,3.5
40706,3751,4.0
45850,205156,5.0
111686,4519,4.0
186220,2054,3.5
77478,168,4.0
116635,1690,4.0
125378,2571,3.5
74703,2571,4.0
129245,7742,2.5
141088,8961,3.0
50759,148172,2.0
79849,3763,3.5
125229,151,3.0
154324,2401,3.5
156862,3793,3.5
200266,356,5.0
55115,69526,3.0
54488,3882,3.0
137788,5316,0.5
55653,8136,2.0
128228,3088,5.0
114374,6250,1.5
34730,2019,3.5
19630,349,3.0
110020,3108,4.0
115982,3635,3.0
179644,4262,3.5
48594,2114,5.0
35168,5094,2.0
7359,720,5.0
70418,68205,3.5
43621,48385,4.0
99770,4092,1.0
5286,195159,4.5
104809,52,4.0
50615,307,4.5
8400,2949,3.0
146668,50,5.0
17390,306,5.0
131643,1198,4.0
156599,597,4.0
35422,1247,5.0
27210,92507,3.0
196245,1792,4.5
138550,733,3.5
33911,3699,3.5
89398,2173,3.0
26687,4299,3.5
120551,8636,3.0
197222,1367,3.0
91972,4351,1.0
7231,3578,4.5
92653,184675,1.5
139728,1215,3.0
168476,60756,2.5
163758,1278,3.0
16472,1097,3.0
183192,539,2.0
93915,2100,3.0
151337,4155,4.0
96044,2012,4.0
151274,673,4.0
191968,164,4.0
73234,53460,3.0
23275,356,5.0
157803,994,5.0
110689,4963,4.5
5678,69278,3.5
113337,187593,5.0
154496,55721,4.0
56956,116411,5.0
112216,87222,5.0
190065,3273,2.5
56064,595,5.0
17440,68073,1.5
71960,68157,3.0
103280,339,3.5
122136,1345,2.0
145416,1968,4.5
168308,89745,2.5
32909,273667,3.0
75273,50,3.5
155912,407,4.5
43975,4226,4.0
133941,72741,3.0
156735,91500,4.0
132902,5809,2.5
132565,54999,2.0
46114,226202,4.0
40611,1393,5.0
13287,199223,3.0
87106,5378,5.0
43773,5989,4.5
54749,122912,5.0
110446,122886,4.0
156294,3897,3.5
193956,2043,3.0
5542,318,5.0
71402,3418,4.5
179617,192307,1.0
6177,2167,3.5
189600,3307,4.5
46317,1643,3.0
25112,115713,3.5
178207,3388,3.0
116107,3175,3.0
15575,69644,3.5
38743,122920,5.0
92410,67675,2.0
174795,325,1.0
187005,1580,4.0
128578,1222,4.0
89944,138380,2.5
156432,3786,3.0
51788,2188,3.0
16617,10,4.0
81575,21,5.0
55735,122904,4.5
142346,35836,0.5
166616,2791,4.5
82007,1261,4.0
50052,434,3.0
89884,4210,4.0
7446,1059,3.5
50342,3301,4.0
3752,77455,4.0
92134,74685,3.0
38480,164,4.0
21088,102407,4.0
62108,2763,4.0
50956,3793,4.0
110493,186779,2.5
194185,3107,3.0
78394,91134,3.0
26563,3468,5.0
64935,292,3.0
186196,356,3.0
105967,131013,3.0
153367,1022,5.0
3733,3869,4.0
6286,2732,4.5
90813,3664,2.0
116579,2174,2.5
62468,2501,4.5
111539,2329,5.0
75264,898,3.5
30564,81164,3.5
104998,348,5.0
44576,4767,4.0
127075,103141,4.0
122419,5989,4.5
129185,147,4.5
37384,2791,1.0
30906,377,2.0
60439,260,5.0
72007,596,3.5
82733,39,2.0
47275,1199,3.5
193908,72998,2.5
200712,780,4.0
42472,541,4.5
16901,91535,3.0
177216,783,5.0
18550,68237,4.0
98859,55820,5.0
142409,158,4.0
90107,1717,2.0
10997,111781,3.5
141427,1552,2.0
79539,48877,2.0
188822,3476,4.0
103842,3998,3.5
160566,5065,3.0
77900,101739,3.5
57380,123947,3.5
39077,1,3.0
14627,6214,4.0
1968,1345,4.0
123494,2664,2.0
76793,195777,3.5
139094,1215,2.0
184918,1344,4.0
87898,2791,4.0
189771,260,5.0
142763,64716,3.5
23877,160438,3.5
157598,87232,2.0
60945,33779,5.0
42367,3022,5.0
186956,930,3.5
76235,5291,4.0
54241,1597,4.0
186459,60074,3.0
54334,2012,4.0
140251,2716,3.0
26711,31930,4.0
147227,45668,4.5
53565,1188,5.0
44584,3624,3.5
40148,3671,4.0
44808,3686,4.0
53067,1732,4.0
48171,4133,0.5
199734,63082,5.0
165647,3299,2.0
30873,5638,2.0
194760,1405,4.0
192695,7454,3.5
191977,1208,5.0
140400,48304,3.5
104491,589,4.0
96587,3965,4.0
137863,44633,4.0
10110,117887,4.5
107881,1711,3.5
132346,45186,3.0
79422,1552,2.5
50721,2454,3.0
42765,306,2.5
39218,737,2.0
39008,2918,3.5
98126,3798,3.0
20323,3113,1.5
72795,1025,3.0
179702,1396,3.5
34051,185,2.0
67514,4886,4.0
93447,33679,1.5
182588,7285,2.5
154416,27773,2.5
8192,2018,5.0
114520,141666,4.0
36737,3435,5.0
155942,88,2.0
67268,3079,2.0
151915,1358,3.0
139166,192121,2.0
118975,99114,4.5
186750,68157,5.0
173979,239570,3.0
107800,4262,4.0
87558,254,1.0
194998,1747,3.5
186860,780,3.0
170831,4226,4.0
150072,3793,5.0
183096,1721,2.0
38905,2657,2.0
127933,377,3.0
139452,919,3.0
132087,296,4.0
152390,527,3.0
127972,3317,4.0
120927,74458,3.5
168906,2353,3.5
97169,3253,3.0
137190,5693,4.0
104787,4022,4.0
187317,57669,3.5
107056,3948,4.0
70284,60684,3.5
86681,4501,3.5
61435,31502,2.5
67072,50068,3.0
86176,4308,4.0
175046,6365,3.5
178257,1396,3.5
166171,114265,3.5
180118,103366,5.0
79789,7256,1.0
9461,2529,4.0
46993,192803,3.0
129990,1258,5.0
73723,33166,2.0
94488,1911,2.0
155922,81591,3.5
170839,103335,4.0
96881,205160,4.5
23217,5540,4.0
107580,72998,4.0
163439,733,3.5
200729,83369,3.5
45133,589,4.0
7966,4003,3.0
4047,6711,5.0
145026,80126,5.0
99559,54286,2.0
62579,1584,3.5
105886,1998,4.0
156435,312,2.0
88923,80222,0.5
54346,141,4.0
58204,2858,4.5
73726,595,3.0
68813,3114,5.0
180387,2959,5.0
150583,206959,4.0
124138,1210,4.0
136271,3635,2.0
84830,246,4.0
118186,296,5.0
164511,5782,4.0
36277,595,4.0
757,83613,3.0
165277,2186,5.0
176504,6541,4.0
115405,1917,4.0
124023,339,4.0
82370,805,3.0
54892,1245,3.0
107155,1036,4.0
163380,1405,4.0
130310,4878,4.0
130004,1298,4.0
167701,51086,3.5
86687,1438,2.5
105202,2300,4.5
21751,3527,4.5
692,315,3.0
106205,4995,3.5
175842,86882,4.0
71230,1214,3.0
118911,1101,5.0
53707,188301,4.0
886,1219,4.0
102910,2010,3.5
5391,2571,4.0
105275,6378,2.0
62841,1092,3.0
155348,2329,3.5
95879,3160,3.5
147656,48385,5.0
102803,830,2.0
68034,4054,3.0
198700,1748,5.0
23919,255,2.0
83543,223,4.0
94287,45672,2.5
107959,3,4.0
131343,3510,4.0
173658,849,2.0
44909,45499,4.5
43468,1193,5.0
38624,67665,4.0
6490,8710,4.0
163305,296,0.5
116400,103688,4.5
161682,3285,3.0
169570,8596,3.5
161067,5349,3.0
102049,277,3.0
93684,1222,3.0
39227,97921,4.0
151981,45499,4.0
166658,31364,3.5
197336,892,3.0
129793,4993,3.5
74971,59315,4.5
20959,46808,3.0
18093,161582,4.0
173979,26501,4.0
1168,90647,1.0
16156,4621,4.0
199817,316,5.0
123757,6711,4.0
146330,837,4.0
79181,79224,2.0
174185,8633,3.5
155826,4327,5.0
104972,353,2.5
164671,353,3.0
20150,2405,2.0
115748,30825,2.0
158279,924,4.0
108960,65,1.0
147888,48738,3.5
200875,5177,4.5
29008,95167,2.5
16023,2076,3.0
5429,111921,3.0
103402,82461,4.0
123414,167640,4.0
60654,1244,4.0
47890,51662,4.5
57581,150,3.0
32628,7361,5.0
36162,5995,5.0
162170,3552,5.0
70355,1270,4.5
78840,1198,3.5
119931,100163,3.5
83037,236,4.0
58136,2054,3.5
103824,2019,3.0
108653,628,3.0
36888,2490,5.0
8420,101577,5.0
83730,924,2.0
174532,6333,3.5
116076,2091,3.0
199478,160438,2.0
165828,908,5.0
182852,4896,4.0
192272,40815,4.5
120298,4995,3.0
81778,139385,4.0
196710,84152,5.0
37140,81834,4.0
194314,435,1.0
75348,8961,4.0
2266,8968,3.0
178945,2370,2.0
197799,164179,4.0
152996,7361,3.5
93376,31658,3.0
68947,1028,5.0
65263,231,1.0
136184,36529,5.0
60771,1370,4.0
125398,3895,3.5
148303,1210,5.0
58985,382,2.5
147871,4069,2.0
18504,45447,4.0
57474,109687,4.0
130083,5956,2.5
129832,2502,2.0
96820,1079,5.0
24697,5329,3.5
105850,87869,2.5
175564,45499,3.0
184433,1610,3.5
31478,350,2.0
7812,986,5.0
130328,2490,3.0
34399,3147,4.0
139452,135137,2.0
40851,231,4.0
20397,122882,3.0
189506,2028,5.0
174977,2243,4.0
5984,3451,4.0
5518,182715,2.0
199631,185029,4.0
76052,270698,0.5
154107,364,3.0
94092,122922,5.0
142624,648,5.0
177369,83132,2.5
161682,2701,1.5
129406,3593,4.0
35945,1377,5.0
6035,1370,3.0
29535,166528,4.0
67033,5219,3.0
184880,67267,4.5
80948,274053,5.0
146234,3444,4.0
8595,86332,3.5
126183,2003,5.0
9778,95167,4.5
115149,11,3.0
17258,8972,4.0
36890,3814,4.0
125930,293,1.0
160543,115617,3.0
124634,27790,5.0
192756,296,4.5
75242,933,3.0
49822,2371,3.0
66166,31685,2.0
185042,112852,4.0
122165,599,5.0
37830,923,5.0
193645,33171,4.0
171619,4776,3.5
86875,608,4.0
83625,224943,4.5
170455,8873,4.0
88804,4963,2.5
85032,2313,4.5
36687,4673,0.5
162015,45950,4.5
196443,454,4.0
27293,101864,3.0
